filename,folder,file_size_mb,duration_seconds,frame_count,width,height,fps,codec,corrupted,is_duplicate,duplicate_of,day_night,camera_type,indoor_outdoor,density,traffic,path
s_11.avi,Normal,251.29,501.0,12525,1280,720,25.0,h264,False,False,,Night,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_11.avi
s_12.avi,Normal,251.34,501.0,12525,1280,720,25.0,h264,False,False,,Night,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_12.avi
s_15.avi,Normal,251.33,501.0,12525,1280,720,25.0,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_15.avi
s_18.avi,Normal,251.42,501.0,12525,1280,720,25.0,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_18.avi
s_20.avi,Normal,251.08,687.0,17175,1280,720,25.0,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_20.avi
s_23.avi,Normal,251.49,298.0,7450,1920,1080,25.0,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_23.avi
s_24.avi,Normal,251.35,514.0,12850,1920,1080,25.0,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Normal\s_24.avi
1.mp4,Snatch Theft,1.49,20.52,615,640,360,29.97,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\1.mp4
10.mp4,Snatch Theft,3.38,12.61,378,1280,720,29.97,h264,False,False,,Day,Movement,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\10.mp4
10_0.mp4,Snatch Theft,1.25,44.0,1100,320,240,25.0,FMP4,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\10_0.mp4
11.mp4,Snatch Theft,2.39,8.74,262,1280,720,29.97,h264,False,False,,Day,Movement,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\11.mp4
11_0.mp4,Snatch Theft,0.39,4.24,106,1006,720,25.0,FMP4,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\11_0.mp4
12.mp4,Snatch Theft,3.47,14.68,440,1280,720,29.97,h264,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\12.mp4
13_0.mp4,Snatch Theft,0.52,13.84,346,352,288,25.0,FMP4,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\13_0.mp4
14.mp4,Snatch Theft,11.18,9.67,232,1280,720,24.0,h264,False,False,,Day,Movement,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\14.mp4
14_0.mp4,Snatch Theft,0.36,7.24,181,480,360,25.0,FMP4,False,False,,Day,Static,,,,Snatch 1.0\Chain Snatching Videos\Snatch Theft\14_0.mp4
